text,actual_label,predicted_label,confidence
suma kaththaatha da sound over a pooda kudaathu pa s3 1 month oda stop aakidum then bairavaa da aaddchi than kaththi kaththi thondaiya kilikatha pa,Offensive_Untargetede,Offensive_Targeted_Insult_Individual,0.4136611319614782
ஆனவக் கொலைகள் நடக்காவிடில்...நம் அடையாளம் அளிக்கப்படும்... இயக்குனருக்கு வாழ்த்துக்கள்...தமிழ்நாடு முத்தரையர்கள்,Offensive_Targeted_Insult_Group,Not_offensive,0.9566271002610949
Power ranger megazord niyabagam vantha hit like,Offensive_Untargetede,Not_offensive,0.9588666174525021
0:28 Shaktimaan Parle-G Biscuit SaptuNaanum sinna vayasula jump panni parakka try pannirukken 90's Pasanga Da 🤣,Offensive_Untargetede,Not_offensive,0.7141619679458272
எவனுக்கும் அடங்க மாட்டோம்... எவளுக்கும் மயங்க மாட்டோம்🤙... # நாடக காதல் # கும்பல்களை வேரோடு அழிக்க வந்த # திரௌபதி படத்திற்கு.. தேவேந்திர குல வேளாளர் சார்பாக வாழ்த்துக்கள்.,Offensive_Targeted_Insult_Group,Not_offensive,0.6240170607748443
Movie yachum nailla eruka nu papom,Offensive_Untargetede,Not_offensive,0.8710691621067548
nice aana teaser starting laa vandha dialogue mgr sir engaveetu Pillai la padina naan anai etal ooda middle lines laa...,Offensive_Targeted_Insult_Other,Not_offensive,0.916793050435948
Yannada trailer idhu yadho oruthava family la nadakkura kadhaiya yaduthu vachirukka,Offensive_Untargetede,Not_offensive,0.5722043821878591
Dai unmaiyanumea marana kattu katuvega pola,Offensive_Untargetede,Not_offensive,0.5249302314342394
🤣🤣🤣 video ku dislike pottavangalam vanthu Inka oru like ah thatti vitutu ponga,Offensive_Targeted_Insult_Other,Offensive_Untargetede,0.43796819715596585
Aathi kanithan 2 paatha maarilla iruku...,Offensive_Targeted_Insult_Individual,Offensive_Untargetede,0.42048788148490107
"Vjs, udanbu veengittu varuthu, 45 vayadhu mathiri theriyuthu,. Nallave ille, middle age RO ok a chose pannu",Not_offensive,Offensive_Targeted_Insult_Individual,0.3286818305191942
Vaa thalaiva..ENPT ku serthu idhula bangam pandrom..!!,Offensive_Untargetede,Not_offensive,0.7665695039823786
"Ennathu ithu konjam kuda sense illama,pakkum pothu kudava ungalukku antha ponnu j.j konjam kuda match agalanu thonala...waste of time",Offensive_Targeted_Insult_Group,Offensive_Targeted_Insult_Individual,0.7400039795824119
trailerna ithu trailer pakka mass & class like muyal vegham dislike Aamai vegham dear hatter's Uusshh |,Not_offensive,Offensive_Untargetede,0.5959661696247536
intha Diwali ku iruku aaaappppu iruku..but yarukunu na sollamata,Offensive_Targeted_Insult_Other,Not_offensive,0.7620562920507988
Dislike pottavan pathi Peru director ranjith veriyana erupan,Offensive_Untargetede,Not_offensive,0.6999516691939797
Ghibran pundaya vitta ungalukku vera aale kedaika laya da.,Offensive_Targeted_Insult_Individual,Offensive_Untargetede,0.5635299967360231
Paka thana pora Inda kaliy to atatha,Offensive_Untargetede,Not_offensive,0.9550165489922818
எவன் என்ன பண்ணாலும் படம் திரைக்கு வரும் da,Not_offensive,Offensive_Targeted_Insult_Group,0.49588299244054435
Oruthar mela neenga viswasam katrathukaga innoruthara yen asingam paduthuringa by thala Ithu ovvoru thala and thalapathy fan kum therinjurukanum,Offensive_Untargetede,Not_offensive,0.9656975931133003
