movie vara level la Erika poguthu	Not_offensive	
I love Ajith Kumar Vivegam movie inki mjy bht achi lgi	not-Tamil	
Padam nalla comedy padama irukum polaye..	Not_offensive	
karthick subburaj anne .... intha padam vetri adaya unagalukku ennudaya valthukkal...	Not_offensive	
கவுண்டர் தேவர்.சார்பாக வெற்றி பெற வாழ்த்துக்கள் 🦁	Not_offensive	
ippo intha trailer ah parkuravana oru like podunga	Not_offensive	
En thalaivan yogi babu irukkaar. Padam vera level laa irukkum	Not_offensive	
Nerkonda parvai...  Sema sema sema trailer	Not_offensive	
ஏய் இது 96 யார் ஏமாத்தறீங்க? செம பின்னிட்டீங்க	Not_offensive	
படம் கண்டிப்பாக வெற்றி பெற வேண்டும் செம்ம vara level	Not_offensive	
Correct. Enga apa military da oodi vilaiyada solli tharuvaaaayaa	Offensive_Targeted_Insult_Other	
Dislike pottavan ratham khaki dha savan	Not_offensive	
ANANDHI ARMY HIT LIKE!! Ennayum ipdi aakitingale Anandi... #AnbukkuNanAdimai	Not_offensive	
Thalaivaa mass nadipin nayagan surya anna fans hits like	Not_offensive	
இந்த படம் கண்டிப்பாக வெற்றியடைய வேண்டும் என வாழ்த்துகிறேன்....	Not_offensive	
Hit like if anybody laughed during this 1.06 .... Thaamasuuuu!!	Not_offensive	
I Love vijay Anna, u r so cute anna	Not_offensive	
Dei Rajini pavam da ne varaven poraven ellam karithuppatha koraiya pesittu erukkan 1:58	Offensive_Targeted_Insult_Group	
செட்டியார் இன மக்கள் சார்பாக எனது சொந்த செலவில் 100 டிக்கெட் இலவசமாக வழங்குகிறேன். படக்குழுவினர்க்கு எனது மனமார்ந்த வாழ்த்துக்கள்	Not_offensive	
Dhanush fans hit like here.....	Not_offensive	
Dey dey deyyy,, loosu pasangala,, munna pinna jayalalitha amma va pathrukingalada gambeeramna ennanu avanga kannula tha paakanum,, amma oda history ah ithu,, soniya gandhi mari iruku chaiiii,,, avanga bio edukanumna a-z pathutu vanthu edungadaa,, dummy akkaathinga	Offensive_Targeted_Insult_Group	
aathii yenna pa different aah eruku sama	Not_offensive	
Viswasam teaser Ku aprm yarllam inga vanteenga?	Not_offensive	
Intha maari comments ku like kekuravangala india va vittu veliya annupanum	Offensive_Untargetede	
250 k likes ineram sila arivuketta pundaika ithku karanam vivek obrai ila kajal ila aksara kakathanu innum sollala?	Offensive_Untargetede	
Ellam okay than....but antha ponnu aasa pattu love panni avanaiye kola panna thappu illaya...yosinga............	Not_offensive	
Short film ah yum vittu vakalaya... Enada panni vachirukeenga	Offensive_Untargetede	
Super  i am waiting	Not_offensive	
Any Nani and Surya mutual fans?	Not_offensive	
தமிழ் நாட்ல இருக்குற சாதிய பைத்தியகார கூதியானுங்கள எல்லாம் ஓரே இடத்தில் பார்க்க ஒரு வாய்ப்பை தந்த மோகன் வன்னிக்கு சாரி பன்னிக்கு நன்றிகள்	Offensive_Targeted_Insult_Group	
അണ്ണ പൊളി  259 k likes in 4hours ....	not-Tamil	
Kekka bekka short film mathiri iruku	Not_offensive	
في قناتي على اليوتيوب  ( كل ماتتمناه 18 ) ًاشتركو في قناتي فضلً منكم ولا يسى امرا	not-Tamil	
உங்க எல்லோரையும் பா. ரஞ்சித் எப்படி எல்லாம் கதர விட்டு இருக்காருன்னு இப்ப தான் புரியுது. அட்டகத்தி, மெட்ராஸ், பரியேறும் பெருமாள் இன்னும் எத்தனையோ படம் இன்னும் வர போகுது அதுக்கு எல்லோரும் மனச தேர்தி கொள்ளுங்க நண்பா	Not_offensive	
Hit Like If U Felt Watching #Sarkar Movie	Not_offensive	
Intha padamavuthu s.k ku nalla come back ah irukanum...	Not_offensive	
Dance Illa p. Deva vai paarkave mudiyadhu pola	Not_offensive	
Love scenes la  Vera level thalaivar,	Not_offensive	
இந்த படம் மாபெரும் வெற்றியடையும்.  #கமல்ஹாசன் ரசிகா்களின் வாழ்த்துக்கள்	Not_offensive	
STR MASSSSSSSSSSSSSSS #ENIMEH NAMBA THAN DA	Not_offensive	
Otha vaaya odachiruven thalapathiya pathu sirichirukka	Offensive_Untargetede	
Abe sale ye toh tatti hai	not-Tamil	
B- Bhayakaramana A- Ajith I- In R-Rasigar A-Admitting  V-Vijay A-Anna A-Awesome <3	Not_offensive	
Just 10 years apadiye elarum patha mathiri irukinga 🥳 padam vetriyadaya Vazthukal 🥳🥳🤩🤩	Not_offensive	
Die Hard #Thala Fans Hit LIKE...	Not_offensive	
மணிரத்னம்,AR ரஹ்மான், வைரமுத்து, சந்தோஷ் சிவன்  தமிழ் சினிமா ல  இல்லல்ல இந்திய சினிமால யே கால் நூற்றாண்டுகளா(25 வருசம்) ஒரே team இல்லல்ல உண்மையான நண்பர்களா இருந்துகிட்டு இருக்காய்ங்கே னா அது இந்த team தான்  படம் எப்ப வரும் னு எதிர்பார்ப்பா இருக்கு.	Not_offensive	
Singam Sinletha Varum  BAIRAVAA  Baikkiramma Varum	Not_offensive	
Super semma mass from vijay fan	Not_offensive	
நாடகக் காதல்.....  குடும்பத்தோட பொண்ணு வீட்டுக்கு போய், வசதி வாய்ப்பை பார்த்து எவ்ளோ பணம் தேறும்,  நகை தேரும்,  சொத்து  பத்து தேறும்னு கணக்கு போட்டு கல்யானம் பண்ணி, ரெண்டு நாளோ மூனு நாளோ பார்த்தவன்/வ கூட அன்னிக்கி நைட்டே படுக்கறதுக்கு  பேரு தான் நாடகக் காதல்.	Not_offensive	
வெற்றி பெற வாழ்த்துக்கள் கண்டிப்பாக திரையரங்கில் பார்க்கவேண்டும்	Not_offensive	
Enagada traileriye verithanama yeduthurukinga...apo padam....screen kiliya poguthu...semmaaaaaaaa thalaivaa	Not_offensive	
8000 dislike people should die as soon as posiible	Offensive_Untargetede	
இது சாதி படம் அல்ல பெண்களின் படம் ஒரு சில பேர் பண்ணும் தவறால் சாதிக்கு கெட்ட பேரு அதான் படம்	Not_offensive	
ஜெயம்ரவி ௨ங்கமேல நல்ல மறியாதை இருக்கு தலைவரை நிங்கள்ளும்மா	Not_offensive	
வெற்றி பெற வாழ்த்துக்கள்... வெள்ளாளர்  சார்பாக	Not_offensive	
Marana bangam...Verithanam Overloaded to Surya Anna Fans...Hmm kola Mass pannuga Pangaligala...	Not_offensive	
Goosebumps vantha vangala la like podungo	Not_offensive	
Intha padam varanum samuga matrathirkana padam ...18k dislikes ithula ena theriuthu avlo poriki porikitu iruku ponnungala...	Not_offensive	
MARVEL MEDIA MY CHANNEL. Pls visit subscribe	Not_offensive	
Sirappana tharamana sambavatha inimel dha paakka porom	Not_offensive	
0.41 look at the name tag vijay kumar	Not_offensive	
#திரௌபதி சாதி வெறி படம்...சிறுத்தைகள்   அப்ப ப.ரஞ்சித் எடுத்தது என்ன #A படமாடா நாயே🤣	Not_offensive	
அன்றைக்கு எங்கள் குல சாமி சொன்னது திரௌபதி திரைப்படம் இவண்.மாவீரன் தம்பி சரத்...🦁🦁🦁	Not_offensive	
Both VCK & PMK Fraudu pasanga than da  En da itha padathula kaati engala makkala Jaathi kalavaram thoonduringa	Not_offensive	
Manasu kulla irrundha kovam lam ippa வெட்ட வெளிச்சம் ஆகியிருக்கு .. நன்றி படக்குழு	Not_offensive	
You kena tunggu lebih lama lagi untuk tahu saya! Who heard this Malaysians?	not-Tamil	
Theatre ellaam insure panni vachukkangappaa.. 2.00 la theatre ellaam kandam!	Offensive_Untargetede	
Naaa arasiyalukku varuvathu uruthi.....Rajini tells this dialog since 96. Semme joke.	Offensive_Targeted_Insult_Individual	
Thalaivar vera level   Suriya ennoda uyir  Avaru oru rockstar	Not_offensive	
Wow wow wow.... suriya Anna	Not_offensive	
Comali 9looks teaser la varave Ella	Offensive_Targeted_Insult_Group	
அருமை.... 10000000%சிறப்பு........ வாழ்க. குடும்பத்தினரோடு சென்று திரையரங்கில் மட்டுமே  பார்ப்போம். இப்படிக்கு தேவர் மகன்.	Not_offensive	
Jimmki kammal has more views 🤣	Not_offensive	
U1 BGM massssssss verala level thala look semaaaaaa	Not_offensive	
வாழ்த்துக்கள் நண்பா... சமூகத்தின் நடக்கும்  உண்மை சம்பவங்களை படமாக எடுத்ததற்கு நெஞ்சார்ந்த நன்றியைத் தெரிவித்துக்கொள்கிறேன்.. இது போன்ற படங்களை மென் மேலும் படைக்க வாழ்த்துக்கள்...	Not_offensive	
Mani Ratnam kitta ippdi oru script huh... Omg... Vera level!!(	Not_offensive	
panggaaligala 2 million likes varanum innum vegama like ah therika vidunka	Not_offensive	
Ayyyo thalaialva Vera lvl confirm ellaflrume RAJINIFIED	Not_offensive	
Atlee verumpaya illa. Trailer layae evlo azhaga Katha soldraan!!!	Not_offensive	
Pa Ranjith paru Da unaku sc St quote job government job quarters ellam cancel pannanum	Offensive_Targeted_Insult_Individual	
Kajal Agarwal is back I so happy	Not_offensive	
Vijay sethupathy sir saggatamizanpadam edutha eppti odama iruku I am waiting makkal selvan🤩🤩🤩🤩🤩🤩🤩	Not_offensive	
Kadasi word its super (oruthavanga mela visuvasatha katrathukaga innoruthavangala  asinga paduthathinga).	Not_offensive	
thalaiva tharu maru marana mass vilayadalama	Not_offensive	
2.04 .Rajini ah serupala adicha Maari irundhuchu	Offensive_Targeted_Insult_Individual	
SK kagha paaka vandhavangha like pannungha	Not_offensive	
But graphics sothapal panitanuga English Kara pottainga athan Padam late ayirichi	Not_offensive	
அரசியலுக்கு வருவது உறுதி ... ரஜினி .... இது 1996  ... 🤣🤣🤣	Not_offensive	
